"Variable / Field Name","Form Name","Section Header","Field Type","Field Label","Choices, Calculations, OR Slider Labels","Field Note","Text Validation Type OR Show Slider Number","Text Validation Min","Text Validation Max",Identifier?,"Branching Logic (Show field only if...)","Required Field?","Custom Alignment","Question Number (surveys only)","Matrix Group Name","Matrix Ranking?","Field Annotation"
cssrs_suicidalbehavior_q5a,columbia_suicide_severity_rating_scale,,text,"If yes, describe: ",,,,,,,"[suicidalbehavior_q5] = '1'",y,,,,,
cssrs_suicidalbehavior_q5b,columbia_suicide_severity_rating_scale,,text,"Total # of interrupted",,,,,,,,y,,,,,
cssrs_suicidalbehavior_q1,columbia_suicide_severity_rating_scale,"Category 9. Actual Attempt:
A potentially self-injurious act committed with at least some wish to die, as a result of act. Behavior was in part thought of as method to kill oneself. Intent
does not have to be 100%. If there is any intent/desire to die associated with the act, then it can be considered an actual suicide attempt. There does not have to be any injury or harm, just the potential for injury or harm. If person pulls trigger while gun is in mouth but gun is broken so no injury results, this is considered an attempt. 
Inferring Intent: Even if an individual denies intent/wish to die, it may be inferred clinically from the behavior or circumstances. For example, a highly lethal act that is clearly not an accident so no other intent but suicide can be inferred (e.g., gunshot to head, jumping from window of a high floor/story). Also, if someone denies intent to die, but they thought that what they did could be lethal, intent may be inferred",radio,"Have you made a suicide attempt?","0, no | 1, yes",,,,,,,,,,,,
cssrs_suicidalbehavior_q1a,columbia_suicide_severity_rating_scale,,text,"Please explain. ",,,,,,,"[cssrs_suicidalbehavior_q1] = '1'",y,,,,,
cssrs_suicidalbehavior_attempts,columbia_suicide_severity_rating_scale,,text,"Total Number of Attempts: ",,,,,,,"[cssrs_suicidalbehavior_q1] = '1'",y,,,,,
cssrs_suicidalbehavior_q2,columbia_suicide_severity_rating_scale,,radio,"IF NO PAST SUICIDE ATTEMPT: Have you done anything to harm yourself?
IF HAS PAST SUICIDE ATTEMPT: Has there been another time where you've done anything to harm yourself?","0, no | 1, yes",,,,,,,,,,,,
cssrs_suicidalbehavior_q2a,columbia_suicide_severity_rating_scale,,text,"Please explain. ",,,,,,,"[cssrs_suicidalbehavior_q2] ='1'",,,,,,
cssrs_suicidalbehavior_q3,columbia_suicide_severity_rating_scale,,radio,"IF NO PAST SUICIDE ATTEMPT: Have you done anything dangerous where you could have died?
IF HAS PAST SUICIDE ATTEMPT: Has there been another time where you've done anything dangerous where you could have died?
","0, no | 1, yes",,,,,,,,,,,,
cssrs_suicidalbehavior_q3a,columbia_suicide_severity_rating_scale,,text,"What did you do?",,,,,,,"[cssrs_suicidalbehavior_q3] = '1'",y,,,,,
cssrs_suicidalbehavior_q3b,columbia_suicide_severity_rating_scale,,yesno,"Were you trying to end your life when you did this?
OR Did you want to die (even a little)?",,,,,,,"[cssrs_suicidalbehavior_q3] = '1'",y,,,,,
cssrs_suicidalbehavior_q3c,columbia_suicide_severity_rating_scale,,yesno,"Did you think it was possible you could have died from this?",,,,,,,"[cssrs_suicidalbehavior_q3] = '1'",,,,,,
cssrs_suicidalbehavior_q4,columbia_suicide_severity_rating_scale,,radio,"Have you hurt yourself without the intent of killing yourself?","0, no | 1, yes",,,,,,,,,,,,
cssrs_suicidalbehavior_q4a,columbia_suicide_severity_rating_scale,,text,"Please explain.",,,,,,,"[cssrs_suicidalbehavior_q4] = '1'",y,,,,,
cssrs_suicidalbehavior_q4b,columbia_suicide_severity_rating_scale,,text,"Why were you trying to hurt yourself? (REASONS FOR SELF INJURY eg. stress relief, sympathy, etc)",,,,,,,"[cssrs_suicidalbehavior_q4] ='1'",,,,,,
cssrs_suicidalbehavior_q8,columbia_suicide_severity_rating_scale,"Current Suicidal Behavior",yesno,"Suicidal behavior was present during the assessment period?",,,,,,,,y,,,,,
recent_attempt_leth,columbia_suicide_severity_rating_scale,"ANSWER FOR ACTUAL ATTEMPTS ONLY",radio,"Most Recent Attempt","0, No physical damage or very minor physical damage (e.g. surface scratches). | 1, Minor physical damage (e.g. lethargic speech; first-degree burns; mild bleeding; sprains) | 2, Moderate physical damage; medical attention needed (e.g. conscious but sleepy, somewhat responsive, second-degree burns; bleeding of major vessel) | 3, Moderately severe; medical hospitalization with intensive care required (e.g., comatose without reflexes; third-degree burns over 20% of body; extensive blood loss with unstable vital signs; major damage to a vital area). | 5, Death",,,,,,"[cssrs_suicidalbehavior_q1] = '1'",,,,cssrs_actual_lethality,,
lethal_attempt_leth,columbia_suicide_severity_rating_scale,,radio,"Most Lethal Attempt","0, No physical damage or very minor physical damage (e.g. surface scratches). | 1, Minor physical damage (e.g. lethargic speech; first-degree burns; mild bleeding; sprains) | 2, Moderate physical damage; medical attention needed (e.g. conscious but sleepy, somewhat responsive, second-degree burns; bleeding of major vessel) | 3, Moderately severe; medical hospitalization with intensive care required (e.g., comatose without reflexes; third-degree burns over 20% of body; extensive blood loss with unstable vital signs; major damage to a vital area). | 5, Death",,,,,,"[cssrs_suicidalbehavior_q1] = '1'",,,,cssrs_actual_lethality,,
first_attempt_leth,columbia_suicide_severity_rating_scale,,radio,"Initial/First Attempt","0, No physical damage or very minor physical damage (e.g. surface scratches). | 1, Minor physical damage (e.g. lethargic speech; first-degree burns; mild bleeding; sprains) | 2, Moderate physical damage; medical attention needed (e.g. conscious but sleepy, somewhat responsive, second-degree burns; bleeding of major vessel) | 3, Moderately severe; medical hospitalization with intensive care required (e.g., comatose without reflexes; third-degree burns over 20% of body; extensive blood loss with unstable vital signs; major damage to a vital area). | 5, Death",,,,,,"[cssrs_suicidalbehavior_q1] = '1'",,,,cssrs_actual_lethality,,
recent_pot_leth,columbia_suicide_severity_rating_scale,"Potential Lethality: Only Answer if Actual Lethality = 0
Likely lethality of actual attempt if no medical damage (the following examples, while having no actual medical damage, had potential for very serious lethality: put gun in mouth and pulled the trigger but gun fails to fire so no medical damage; laying on train tracks with oncoming train but pulled away before run over.)",radio,"Most Recent Attempt","0, Behavior not likely to result in injury | 1, Behavior likely to result in injury but not likely to cause death | 2, Behavior likely to result in death despite available medical care",,,,,,"[lethal_attempt_leth] = '0' and [lethal_attempt_leth] = '0' and [recent_attempt_leth] = '0'",,,,cssrs_pot_leth,,
lethal_pot_lethal,columbia_suicide_severity_rating_scale,,radio,"Most Lethal Attempt","0, Behavior not likely to result in injury | 1, Behavior likely to result in injury but not likely to cause death | 2, Behavior likely to result in death despite available medical care",,,,,,"[first_attempt_leth] = '0' and [lethal_attempt_leth] = '0' and [recent_attempt_leth] = '0'",,,,cssrs_pot_leth,,
first_pot_leth,columbia_suicide_severity_rating_scale,,radio,"Initial/First Attempt","0, Behavior not likely to result in injury | 1, Behavior likely to result in injury but not likely to cause death | 2, Behavior likely to result in death despite available medical care",,,,,,"[recent_attempt_leth] = '0' and [lethal_attempt_leth] = '0' and [first_attempt_leth] = '0'",,,,cssrs_pot_leth,,
cssrs_suicide_ideation_score,columbia_suicide_severity_rating_scale,,calc,"Suicidal ideation score:","sum([cssrs_suicidalideation_q1],[cssrs_suicidalideation_q2], [cssrs_suicidalideation_q2b],[cssrs_suicidalideation_q3], [cssrs_suicidalideation_q4])",,,,,,,,,,,,
cssrs_suicide_ideation,columbia_suicide_severity_rating_scale,,calc,"Suicidal Ideation present:","if([cssrs_suicide_ideation_score] > 0 and [cssrs_suicide_ideation_score] <> """", 1, 0)",,,,,,,,,,,,
cssrs_suicide_behavior,columbia_suicide_severity_rating_scale,,calc,"Suicidal behavior present:","if(([suicidalbehavior_q7] = 1 OR [suicidalbehavior_q6] = 1 OR [suicidalbehavior_q5] = 1 OR [cssrs_suicidalbehavior_q1] = 1), 1, 0)",,,,,,,,,,,,
cssrs_ideation_behavior,columbia_suicide_severity_rating_scale,,calc,"Suicide ideation OR behavior present:","if(([cssrs_suicide_ideation] = 1 OR [cssrs_suicide_behavior] = 1), 1, 0)",,,,,,,,,,,,
ede_start_time,eating_disorder_examination,,text,"EDE Start Time",,,datetime_dmy,now,now,,,y,,,,,
ede_0_a,eating_disorder_examination,"0. In controlled setting (i.e. hospitalization)",descriptive,"a) Reason = Hospitalization",,,,,,,,,,,,,
ede_0_hosp_m1,eating_disorder_examination,,text,"a.1) Past four weeks",,"Number of days",number,0,28,,,,,,,,
ede_0_hosp_m2,eating_disorder_examination,,text,"a.2) Month 2",,"Number of days",number,0,28,,,,,,,,
ede_0_hosp_m3,eating_disorder_examination,,text,"a.3) Month 3",,"Number of days",number,0,28,,,,,,,,
ede_0_b,eating_disorder_examination,,descriptive,"b) Reason = Other controlled setting",,,,,,,,,,,,,
ede_0_other_setting_m1,eating_disorder_examination,,text,"b.1) Past four weeks",,"Number of days",integer,0,28,,,,,,,,
ede_0_other_setting_m2,eating_disorder_examination,,text,"b.2) Month 2",,"Number of days",integer,0,28,,,,,,,,
ede_0_other_setting_m3,eating_disorder_examination,,text,"b.3) Month 3",,"Number of days",integer,0,28,,,,,,,,
ede_0_c,eating_disorder_examination,,descriptive,"c) Reason = Either/both",,,,,,,,,,,,,
ede_0_eb_m1,eating_disorder_examination,,text,"c.1) Past four weeks",,"Number of days",number,,,,,,,,,,
ede_0_eb_m_2,eating_disorder_examination,,text,"c.2) Month 2",,"Number of days",number,,,,,,,,,,
ede_0_eb_m_3,eating_disorder_examination,,text,"c.3) Month 3",,"Number of days",number,,,,,,,,,,
ede_0_current,eating_disorder_examination,,radio,"d) Currently in a controlled setting","0, NOT currently in a controlled setting | 1, currently in a controlled setting",,,,,,,,,,,,
ede_1_breakfast_days,eating_disorder_examination,"1. Pattern of eating (Rate 8 if meals or snacks are difficult to classify)",text,"a) breakfast - Number of days",,"Number of days",integer,0,28,,,,,,,,
ede_1_breakfast_rate,eating_disorder_examination,,calc,"a) breakfast - Rating","if([ede_1_breakfast_days] = 0, 0,
if([ede_1_breakfast_days] > 0 and [ede_1_breakfast_days] < 6 and [ede_1_breakfast_days]  <> """", 1,
if([ede_1_breakfast_days] > 5 and [ede_1_breakfast_days] < 13 and [ede_1_breakfast_days]  <> """", 2,
if([ede_1_breakfast_days] > 12 and [ede_1_breakfast_days] < 16 and [ede_1_breakfast_days]  <> """", 3,
if([ede_1_breakfast_days] > 15 and [ede_1_breakfast_days] < 23 and [ede_1_breakfast_days]  <> """", 4,
if([ede_1_breakfast_days] > 22 and [ede_1_breakfast_days] < 28 and [ede_1_breakfast_days]  <> """", 5,
if([ede_1_breakfast_days] > 27 and [ede_1_breakfast_days]  <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_1_mmsnack_days,eating_disorder_examination,,text,"b) mid-morning snack - Number of days",,"Number of days",number,,,,,,,,,,
ede_1_mmsnack_rate,eating_disorder_examination,,calc,"b) mid-morning snack - Rating","if([ede_1_mmsnack_days] = 0, 0,
if([ede_1_mmsnack_days] > 0 and [ede_1_mmsnack_days] < 6 and [ede_1_mmsnack_days]  <> """", 1,
if([ede_1_mmsnack_days] > 5 and [ede_1_mmsnack_days] < 13 and [ede_1_mmsnack_days]  <> """", 2,
if([ede_1_mmsnack_days] > 12 and [ede_1_mmsnack_days] < 16 and [ede_1_mmsnack_days]  <> """", 3,
if([ede_1_mmsnack_days] > 15 and [ede_1_mmsnack_days] < 23 and [ede_1_mmsnack_days]  <> """", 4,
if([ede_1_mmsnack_days] > 22 and [ede_1_mmsnack_days] < 28 and [ede_1_mmsnack_days]  <> """", 5,
if([ede_1_mmsnack_days] > 27 and [ede_1_mmsnack_days]  <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_1_lunch_days,eating_disorder_examination,,text,"c) lunch - Number of days",,"Number of days",number,,,,,,,,,,
ede_1_lunch_rate,eating_disorder_examination,,calc,"c) lunch - Rating","if([ede_1_lunch_days] = 0, 0,
if([ede_1_lunch_days] > 0 and [ede_1_lunch_days] < 6 and [ede_1_lunch_days]  <> """", 1,
if([ede_1_lunch_days] > 5 and [ede_1_lunch_days] < 13 and [ede_1_lunch_days]  <> """", 2,
if([ede_1_lunch_days] > 12 and [ede_1_lunch_days] < 16 and [ede_1_lunch_days]  <> """", 3,
if([ede_1_lunch_days] > 15 and [ede_1_lunch_days] < 23 and [ede_1_lunch_days]  <> """", 4,
if([ede_1_lunch_days] > 22 and [ede_1_lunch_days] < 28 and [ede_1_lunch_days]  <> """", 5,
if([ede_1_lunch_days] > 27 and [ede_1_lunch_days]  <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_1_masnack_days,eating_disorder_examination,,text,"d) mid-afternoon snack - Number of days",,"Number of days",number,,,,,,,,,,
ede_1_masnack_rate,eating_disorder_examination,,calc,"d) mid-afternoon snack - Rating","if([ede_1_masnack_days] = 0, 0,
if([ede_1_masnack_days] > 0 and [ede_1_masnack_days] < 6 and [ede_1_masnack_days]  <> """", 1,
if([ede_1_masnack_days] > 5 and [ede_1_masnack_days] < 13 and [ede_1_masnack_days]  <> """", 2,
if([ede_1_masnack_days] > 12 and [ede_1_masnack_days] < 16 and [ede_1_masnack_days]  <> """", 3,
if([ede_1_masnack_days] > 15 and [ede_1_masnack_days] < 23 and [ede_1_masnack_days]  <> """", 4,
if([ede_1_masnack_days] > 22 and [ede_1_masnack_days] < 28 and [ede_1_masnack_days]  <> """", 5,
if([ede_1_masnack_days] > 27 and [ede_1_masnack_days]  <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_1_dinner_days,eating_disorder_examination,,text,"e) evening meal - Number of days",,"Number of days",number,,,,,,,,,,
ede_1_dinner_rate,eating_disorder_examination,,calc,"e) evening meal - Rating","if([ede_1_dinner_days] = 0, 0,
if([ede_1_dinner_days] > 0 and [ede_1_dinner_days] < 6 and [ede_1_dinner_days]  <> """", 1,
if([ede_1_dinner_days] > 5 and [ede_1_dinner_days] < 13 and [ede_1_dinner_days]  <> """", 2,
if([ede_1_dinner_days] > 12 and [ede_1_dinner_days] < 16 and [ede_1_dinner_days]  <> """" , 3,
if([ede_1_dinner_days] > 15 and [ede_1_dinner_days] < 23 and [ede_1_dinner_days]  <> """", 4,
if([ede_1_dinner_days] > 22 and [ede_1_dinner_days] < 28 and [ede_1_dinner_days]  <> """", 5,
if([ede_1_dinner_days] > 27 and [ede_1_dinner_days]  <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_1_esnack_days,eating_disorder_examination,,text,"f) evening snack - Number of days",,"Number of days",number,,,,,,,,,,
ede_1_esnack_rate,eating_disorder_examination,,calc,"f) evening snack - Rating","if([ede_1_esnack_days] = 0, 0,
if([ede_1_esnack_days] > 0 and [ede_1_esnack_days] < 6 and [ede_1_esnack_days]  <> """", 1,
if([ede_1_esnack_days] > 5 and [ede_1_esnack_days] < 13 and [ede_1_esnack_days]  <> """", 2,
if([ede_1_esnack_days] > 12 and [ede_1_esnack_days] < 16 and [ede_1_esnack_days]  <> """", 3,
if([ede_1_esnack_days] > 15 and [ede_1_esnack_days] < 23 and [ede_1_esnack_days]  <> """", 4,
if([ede_1_esnack_days] > 22 and [ede_1_esnack_days] < 28 and [ede_1_esnack_days]  <> """", 5,
if([ede_1_esnack_days] > 27 and [ede_1_esnack_days]  <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_1_noc_snack_days,eating_disorder_examination,,text,"g) nocturnal snack - Number of days",,"Number of days",number,,,,,,,,,,
ede_1_noc_snack_rate,eating_disorder_examination,,calc,"g) nocturnal snack - Rating","if([ede_1_noc_snack_days] = 0, 0,
if([ede_1_noc_snack_days] > 0 and [ede_1_noc_snack_days] < 6 and [ede_1_noc_snack_days]  <> """", 1,
if([ede_1_noc_snack_days] > 5 and [ede_1_noc_snack_days] < 13 and [ede_1_noc_snack_days]  <> """", 2,
if([ede_1_noc_snack_days] > 12 and [ede_1_noc_snack_days] < 16 and [ede_1_noc_snack_days]  <> """", 3,
if([ede_1_noc_snack_days] > 15 and [ede_1_noc_snack_days] < 23 and [ede_1_noc_snack_days]  <> """", 4,
if([ede_1_noc_snack_days] > 22 and [ede_1_noc_snack_days] < 28 and [ede_1_noc_snack_days]  <> """", 5,
if([ede_1_noc_snack_days] > 27 and [ede_1_noc_snack_days]  <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_1_noc_aware,eating_disorder_examination,,radio,"g.1) Awareness during nocturnal eating","0, no nocturnal eating | 1, nocturnal eating with NO impairment of awareness (alertness) or recall | 2, nocturnal eating with impairment of awareness (alertness) or recall",,,,,,,,,,,,
ede_2_nibble_days,eating_disorder_examination,"2. Picking (Nibbling)",text,"a) Picking (Nibbling) - Number of days",,"Number of days",number,0,28,,,,,,,,
ede_2_nibble_rate,eating_disorder_examination,,calc,"b) Picking (Nibbling) - Rating","if([ede_2_nibble_days] = 0, 0,
if([ede_2_nibble_days] > 0 and [ede_2_nibble_days] < 6 and [ede_2_nibble_days] <> """", 1,
if([ede_2_nibble_days] > 5 and [ede_2_nibble_days] < 13 and [ede_2_nibble_days] <> """", 2,
if([ede_2_nibble_days] > 12 and [ede_2_nibble_days] < 16 and [ede_2_nibble_days] <> """", 3,
if([ede_2_nibble_days] > 15 and [ede_2_nibble_days] < 23 and [ede_2_nibble_days] <> """", 4,
if([ede_2_nibble_days] > 22 and [ede_2_nibble_days] < 28 and [ede_2_nibble_days] <> """", 5,
if([ede_2_nibble_days] > 27 and [ede_2_nibble_days] <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_3_restrain_days,eating_disorder_examination,"Restraint Subscales<br><br>3. Restraint over eating",text,"a) Reason = Weight/shape/eating - Number of days",,"Number of days",number,0,28,,,,,,,,
ede_3_restrain_rate,eating_disorder_examination,,calc,"a) Reason = Weight/shape/eating - Rating","if([ede_3_restrain_days] = 0, 0,
if([ede_3_restrain_days] > 0 and [ede_3_restrain_days] < 6 and [ede_3_restrain_days] <> """", 1,
if([ede_3_restrain_days] > 5 and [ede_3_restrain_days] < 13 and [ede_3_restrain_days] <> """", 2,
if([ede_3_restrain_days] > 12 and [ede_3_restrain_days] < 16 and [ede_3_restrain_days] <> """", 3,
if([ede_3_restrain_days] > 15 and [ede_3_restrain_days] < 23 and [ede_3_restrain_days] <> """", 4,
if([ede_3_restrain_days] > 22 and [ede_3_restrain_days] < 28 and [ede_3_restrain_days] <> """", 5,
if([ede_3_restrain_days] > 27 and [ede_3_restrain_days] <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_3_restrain_con_days,eating_disorder_examination,,text,"b) Reason = Control - Number of days",,"Number of days",number,0,28,,,,,,,,
ede_3_restrain_con_rate,eating_disorder_examination,,calc,"b) Reason = Control - Rating","if([ede_3_restrain_con_days] = 0, 0,
if([ede_3_restrain_con_days] > 0 and [ede_3_restrain_con_days] < 6 and [ede_3_restrain_con_days] <> """", 1,
if([ede_3_restrain_con_days] > 5 and [ede_3_restrain_con_days] < 13 and [ede_3_restrain_con_days] <> """", 2,
if([ede_3_restrain_con_days] > 12 and [ede_3_restrain_con_days] < 16 and [ede_3_restrain_con_days] <> """", 3,
if([ede_3_restrain_con_days] > 15 and [ede_3_restrain_con_days] < 23 and [ede_3_restrain_con_days] <> """", 4,
if([ede_3_restrain_con_days] > 22 and [ede_3_restrain_con_days] < 28 and [ede_3_restrain_con_days] <> """", 5,
if([ede_3_restrain_con_days] > 27 and [ede_3_restrain_con_days] <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_3_restrain_both_days,eating_disorder_examination,,text,"c) Reason = Both - Number of days",,"Number of days",number,0,28,,,,,,,,
ede_3_restrain_both_rate,eating_disorder_examination,,calc,"c) Reason = Both - Rating","if([ede_3_restrain_both_days] = 0, 0,
if([ede_3_restrain_both_days] > 0 and [ede_3_restrain_both_days] < 6 and [ede_3_restrain_both_days] <> """", 1,
if([ede_3_restrain_both_days] > 5 and [ede_3_restrain_both_days] < 13 and [ede_3_restrain_both_days] <> """", 2,
if([ede_3_restrain_both_days] > 12 and [ede_3_restrain_both_days] < 16 and [ede_3_restrain_both_days] <> """", 3,
if([ede_3_restrain_both_days] > 15 and [ede_3_restrain_both_days] < 23 and [ede_3_restrain_both_days] <> """", 4,
if([ede_3_restrain_both_days] > 22 and [ede_3_restrain_both_days] < 28 and [ede_3_restrain_both_days] <> """", 5,
if([ede_3_restrain_both_days] > 27 and [ede_3_restrain_both_days] <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_3_eb_restrain_days,eating_disorder_examination,,calc,"c) Reason = Either/Both - Number of Days","([ede_3_restrain_days] - [ede_3_restrain_both_days]) + ([ede_3_restrain_con_days] - [ede_3_restrain_both_days] + [ede_3_restrain_both_days])",,,,,,,,,,,,
ede_3_restrain_eb_rate_1,eating_disorder_examination,,calc,"c) Reason = Either/Both- Rating","if([ede_3_eb_restrain_days] = 0, 0,
if([ede_3_eb_restrain_days] > 0 and [ede_3_eb_restrain_days] < 6 and [ede_3_eb_restrain_days] <> """", 1,
if([ede_3_eb_restrain_days] > 5 and [ede_3_eb_restrain_days] < 13 and [ede_3_eb_restrain_days] <> """", 2,
if([ede_3_eb_restrain_days] > 12 and [ede_3_eb_restrain_days] < 16 and [ede_3_eb_restrain_days] <> """", 3,
if([ede_3_eb_restrain_days] > 15 and [ede_3_eb_restrain_days] < 23 and [ede_3_eb_restrain_days] <> """", 4,
if([ede_3_eb_restrain_days] > 22 and [ede_3_eb_restrain_days] < 28 and [ede_3_eb_restrain_days] <> """", 5,
if([ede_3_eb_restrain_days] > 27 and [ede_3_eb_restrain_days] <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_3_restrain_either_days,eating_disorder_examination,,text,"<div class=""rich-text-field-label""><p>c) Reason = Either - Number of days <span style=""background-color: rgb(241, 196, 15);"">(OLD)</span></p></div>",,"Number of days",number,0,28,,,,,,,," @HIDDEN-SURVEY"
ede_3_restrain_either_rate,eating_disorder_examination,,calc,"<div class=""rich-text-field-label""><p>c) Reason = Either - Rating <span style=""background-color: #f1c40f;"">(OLD)</span></p></div>","if([ede_3_restrain_either_days] = 0, 0,
if([ede_3_restrain_either_days] > 0 and [ede_3_restrain_either_days] < 6 and [ede_3_restrain_either_days] <> """", 1,
if([ede_3_restrain_either_days] > 5 and [ede_3_restrain_either_days] < 13 and [ede_3_restrain_either_days] <> """", 2,
if([ede_3_restrain_either_days] > 12 and [ede_3_restrain_either_days] < 16 and [ede_3_restrain_either_days] <> """", 3,
if([ede_3_restrain_either_days] > 15 and [ede_3_restrain_either_days] < 23 and [ede_3_restrain_either_days] <> """", 4,
if([ede_3_restrain_either_days] > 22 and [ede_3_restrain_either_days] < 28 and [ede_3_restrain_either_days] <> """", 5,
if([ede_3_restrain_either_days] > 27 and [ede_3_restrain_either_days] <> """", 6,-9)))))))",Rating,,,,,,,,,,," @HIDDEN-SURVEY"
ede_3_restrain_eb_days,eating_disorder_examination,,text,"<div class=""rich-text-field-label""><p>c) Reason = Either/both - Number of days <span style=""background-color: rgb(241, 196, 15);"">(OLD)</span></p></div>",,"Number of days",number,0,28,,,,,,,," @HIDDEN-SURVEY"
ede_3_restrain_eb_rate,eating_disorder_examination,,calc,"<div class=""rich-text-field-label""><p>c) Reason = Either/both - Rating<span style=""background-color: #f1c40f;""> (OLD)</span></p></div>","if([ede_3_restrain_eb_days] = 0, 0,
if([ede_3_restrain_eb_days] > 0 and [ede_3_restrain_eb_days] < 6 and [ede_3_restrain_eb_days] <> """", 1,
if([ede_3_restrain_eb_days] > 5 and [ede_3_restrain_eb_days] < 13 and [ede_3_restrain_eb_days] <> """" , 2,
if([ede_3_restrain_eb_days] > 12 and [ede_3_restrain_eb_days] < 16 and [ede_3_restrain_eb_days] <> """", 3,
if([ede_3_restrain_eb_days] > 15 and [ede_3_restrain_eb_days] < 23 and [ede_3_restrain_eb_days] <> """", 4,
if([ede_3_restrain_eb_days] > 22 and [ede_3_restrain_eb_days] < 28 and [ede_3_restrain_eb_days] <> """", 5,
if([ede_3_restrain_eb_days] > 27 and [ede_3_restrain_eb_days] <> """", 6,-9)))))))",Rating,,,,,,,,,,," @HIDDEN-SURVEY"
ede_4_avoid_days,eating_disorder_examination,"4. Avoidance of eating",text,"a) Reason = Weight/shape/eating - Number of days",,"Number of days",number,0,28,,,,,,,,
ede_4_avoid_rate,eating_disorder_examination,,calc,"a) Reason = Weight/shape/eating - Rating","if([ede_4_avoid_days] = 0, 0,
if([ede_4_avoid_days] > 0 and [ede_4_avoid_days] < 6 and [ede_4_avoid_days] <> """", 1,
if([ede_4_avoid_days] > 5 and [ede_4_avoid_days] < 13 and [ede_4_avoid_days] <> """", 2,
if([ede_4_avoid_days] > 12 and [ede_4_avoid_days] < 16 and [ede_4_avoid_days] <> """", 3,
if([ede_4_avoid_days] > 15 and [ede_4_avoid_days] < 23 and [ede_4_avoid_days] <> """", 4,
if([ede_4_avoid_days] > 22 and [ede_4_avoid_days] < 28 and [ede_4_avoid_days] <> """", 5,
if([ede_4_avoid_days] > 27 and [ede_4_avoid_days] <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_4_avoid_con_days,eating_disorder_examination,,text,"b) Reason = Control - Number of days",,"Number of days",number,,,,,,,,,,
ede_4_avoid_con_rate,eating_disorder_examination,,calc,"b) Reason = Control - Rating","if([ede_4_avoid_con_days] = 0, 0,
if([ede_4_avoid_con_days] > 0 and [ede_4_avoid_con_days] < 6 and [ede_4_avoid_con_days] <> """", 1,
if([ede_4_avoid_con_days] > 5 and [ede_4_avoid_con_days] < 13 and [ede_4_avoid_con_days] <> """", 2,
if([ede_4_avoid_con_days] > 12 and [ede_4_avoid_con_days] < 16 and [ede_4_avoid_con_days] <> """", 3,
if([ede_4_avoid_con_days] > 15 and [ede_4_avoid_con_days] < 23 and [ede_4_avoid_con_days] <> """", 4,
if([ede_4_avoid_con_days] > 22 and [ede_4_avoid_con_days] < 28 and [ede_4_avoid_con_days] <> """", 5,
if([ede_4_avoid_con_days] > 27 and [ede_4_avoid_con_days] <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_4_avoid_both_days,eating_disorder_examination,,text,"c) Reason = Both - Number of days",,"Number of days",number,0,28,,,,,,,,
ede_4_avoid_both_rate,eating_disorder_examination,,calc,"c) Reason = Both - Rating","if([ede_3_restrain_eb_days] = 0, 0,
if([ede_3_restrain_eb_days] > 0 and [ede_3_restrain_eb_days] < 6 and [ede_3_restrain_eb_days] <> """", 1,
if([ede_3_restrain_eb_days] > 5 and [ede_3_restrain_eb_days] < 13 and [ede_3_restrain_eb_days] <> """", 2,
if([ede_3_restrain_eb_days] > 12 and [ede_3_restrain_eb_days] < 16 and [ede_3_restrain_eb_days] <> """", 3,
if([ede_3_restrain_eb_days] > 15 and [ede_3_restrain_eb_days] < 23 and [ede_3_restrain_eb_days] <> """", 4,
if([ede_3_restrain_eb_days] > 22 and [ede_3_restrain_eb_days] < 28 and [ede_3_restrain_eb_days] <> """", 5,
if([ede_3_restrain_eb_days] > 27 and [ede_3_restrain_eb_days] <> """", 6,-9)))))))",Rating,,,,,,,,,,,
ede_4_avoid_either_shape_days,eating_disorder_examination,,calc,"C) Reason-Either/both ","(([ede_4_avoid_days] - [ede_4_avoid_both_days]) + ([ede_4_avoid_con_days] - [ede_4_avoid_both_days]) + [ede_4_avoid_both_days])",,,,,,,,,,,,
